MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484096213,       73.55707461,   0.5704655827,     46.64596492,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485035931,       73.56458448,   0.5714836308,     46.83716038,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       0.148532971,       73.54314079,   0.5729614654,     46.94169156,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485064816,       73.51316328,   0.5745075792,     46.96190159,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484434384,       73.48938684,   0.5758093396,     46.91423771,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1483618778,       73.47731806,   0.5766519754,     46.82161998,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482757035,       73.47862608,    0.576929516,     46.71138864,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1481998158,       73.49269783,   0.5766666225,     46.61024199,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1481437583,       73.51549711,   0.5759923781,     46.53852127,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482523486,        73.5092806,   0.5702389147,     46.38862741,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484051706,       73.55946024,   0.5704344514,     46.64814975,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484988446,       73.56657364,   0.5714524644,     46.83911844,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485281837,       73.54504817,   0.5729306254,     46.94355324,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485016303,       73.51505126,    0.574477195,     46.96375819,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484384591,       73.49128171,   0.5757792626,     46.91609925,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1483567733,       73.47923005,   0.5766219606,     46.82347093,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482705406,       73.48054737,   0.5768994491,     46.71321953,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       0.148194629,       73.49462102,   0.5766364626,     46.61205041,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1481385605,       73.51741992,   0.5759621181,     46.54030902,5.241529229,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482523486,       73.50928058,   0.5702389146,      46.3886274,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484051705,       73.55946023,   0.5704344514,     46.64814974,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484988446,       73.56657363,   0.5714524643,     46.83911843,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485281837,       73.54504816,   0.5729306254,     46.94355323,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1485016303,       73.51505125,    0.574477195,     46.96375818,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1484384591,        73.4912817,   0.5757792626,     46.91609924,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1483567733,       73.47923004,   0.5766219606,     46.82347092,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1482705406,       73.48054736,    0.576899449,     46.71321952,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       0.148194629,       73.49462101,   0.5766364626,      46.6120504,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
      0.1481385605,       73.51741991,   0.5759621181,     46.54030901,5.241529227,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.520798698,       42.00857565,    6.300507873,     34.67485615,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.561120684,       56.60114928,    6.561429222,     43.50304239,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.588036371,       62.32020617,    6.666110565,     47.88669561,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.560742736,       63.96941491,    6.594222235,     50.63562959,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        1.52730301,       64.48891288,    6.461736506,     52.28944841,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.484632101,       64.40083301,    6.358598551,      53.1144839,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.443743787,       64.21170104,     6.27692807,     53.20334203,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.420371279,       64.19784238,    6.202796563,     53.06176649,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.410328302,        64.2222479,    6.141092984,     53.01862575,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.407484076,       64.20130752,    6.106897318,     53.10504629,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.406549126,       64.13063414,    6.100340412,     53.21303789,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.405192933,        64.0461567,    6.108375334,     53.23019459,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.403265903,       64.01321679,    6.113632241,      53.1510148,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401774515,       64.05067546,    6.108262519,     53.07834825,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401501945,       64.11594582,    6.098131347,     53.09726921,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402049141,       64.15993748,    6.093248508,     53.19398555,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402483087,       64.16938014,    6.096946328,     53.28342344,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402170248,       64.16699791,    6.103396087,     53.30479584,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401366095,       64.18478611,    6.105298222,     53.27805872,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.400814562,       64.22596482,    6.101496989,     53.26543427,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.406547809,       64.12928174,    6.100354145,     53.21171732,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.405200582,       64.04482622,     6.10841161,     53.22886695,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.403277105,       64.01191059,    6.113679984,     53.14970024,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401786329,       64.04940647,    6.108316345,     53.07706919,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        1.40151363,       64.11470751,      6.0981878,     53.09602785,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402060296,       64.15873099,    6.093305586,     53.19276845,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402493705,       64.16820423,    6.097002489,     53.28222141,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402180624,       64.16584062,    6.103451078,     53.30360744,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401376386,        64.1836363,    6.105352578,     53.27688249,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.400824803,       64.22481589,    6.101551285,     53.26426467,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.406531867,       64.12998476,    6.100276978,     53.21231311,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.405180442,       64.04533553,    6.108322701,     53.22936064,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.403255508,       64.01233499,    6.113585979,      53.1501338,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401764899,       64.04979952,    6.108221253,     53.07745628,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401492643,       64.11508782,    6.098093513,     53.09638332,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402039957,        64.1591063,     6.09321233,     53.19310864,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402474004,       64.16857529,    6.096910454,     53.28255854,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402161275,       64.16620727,    6.103360286,     53.30394353,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        1.40135718,       64.18400082,    6.105262732,     53.27721555,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.400805637,       64.22518094,    6.101461861,     53.26459454,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.406531867,       64.12998476,    6.100276977,     53.21231311,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.405180442,       64.04533552,      6.1083227,     53.22936063,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.403255508,       64.01233499,    6.113585978,      53.1501338,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401764898,       64.04979952,    6.108221252,     53.07745627,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401492643,       64.11508781,    6.098093512,     53.09638332,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402039957,        64.1591063,    6.093212329,     53.19310863,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402474004,       64.16857529,    6.096910453,     53.28255854,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.402161275,       64.16620727,    6.103360285,     53.30394352,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.401357179,       64.18400082,    6.105262731,     53.27721554,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       1.400805637,       64.22518093,     6.10146186,     53.26459454,12.32838396,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        42.8048644,       22.68108096,    182.8634189,     19.66799031,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       41.82839883,       38.13582226,    185.9915092,     28.23304541,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       41.97749235,       44.53959067,     187.356789,     32.50092341,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        41.2455528,       45.92033228,    184.7866904,     34.87675226,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       40.56083743,       45.95299681,    180.7112923,     36.10276139,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       39.82926309,       45.14462073,    177.9706271,     36.63548693,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       39.11149499,       44.16693566,    176.6268086,      36.5128242,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       38.64552605,       43.67964076,    175.6477726,     36.12266126,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        38.4183466,       43.53153292,    174.5912621,     35.78952519,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       38.35501356,       43.53868206,    173.7032407,     35.67529636,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       38.37132131,        43.5631691,    173.2365792,     35.76119619,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       38.41304553,       43.54452845,    173.2913916,     35.91761787,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        38.4314961,        43.4990388,    173.6827829,     36.00062154,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       38.41089645,       43.47242505,    174.0270846,     35.96762428,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
        38.3722485,       43.49431114,    174.0624813,     35.88543714,11.04154846,        0
MOMENT Amp_Z(Nm/m), MOMENT phase(deg), Lift Amp (N/m), Lift Phase(Deg),  w(Hz),  U_input (m/s), Moment Center(0.25 0 0)
       38.34431191,       43.55691317,    173.8205081,     35.85156058,11.04154846,        0
