MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.671432007,          1.539076162,     53.60332061,     -17.68284744,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.682645341,          1.459718932,     53.53062989,     -17.90916327,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.43584641,          59.91421446,     141.4893657,      25.18231046,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.67847486,          60.09313534,     145.0343471,      25.10384907,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.70189546,          60.49943712,     146.4011074,      25.56127305,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.42455887,          60.61771072,     144.1620246,      26.28101181,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.47907295,          60.39054306,     142.8824831,      25.90552045,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.59439881,          60.26763368,     143.7890126,      25.41865072,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.67619306,          60.35405844,     145.0071782,      25.36189762,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.62319928,          60.49681531,     144.9834759,      25.76687389,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.57934002,          60.46647885,     144.1834378,      25.87479655,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.59825912,          60.36997055,     143.9402529,      25.65303461,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
            0.2643671898,          59.91336305,     1.414958555,       25.1816872,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.645399294,         0.9212928719,     52.68001604,      -18.2901766,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.512225088,        -0.6040513576,     51.66233589,     -19.36988225,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             26.43584641,          59.91421446,     141.4893657,      25.18231046,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             8.512225088,         -60.60405136,     51.66233589,     -79.36988225,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)Plunge ONly
             8.512225088,        -0.6040513576,     51.66233589,     -19.36988225,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)pitch only
             26.43584641,          59.91421446,     141.4893657,      25.18231046,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             31.50881018,          46.31243472,      181.950959,      13.69228035,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             23.29737711,          41.56809264,     137.8947244,      3.920419494,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             31.50881018,          46.31243472,      181.950959,      13.69228035,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              32.0329218,           47.2612066,     184.2834934,      14.89896668,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              32.0872128,          47.29980709,     187.6803822,      14.10910679,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              32.0872128,          47.29980709,     187.6803822,      14.10910679,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.63955033,          48.17994997,      184.980902,      16.01586723,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              32.1366023,          47.21618234,     182.6691414,      14.78076856,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.24024639,          47.40507151,     183.1522656,      15.02520455,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.34237976,          47.59594014,     183.6250668,      15.27097097,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.17010241,          47.41487323,     186.7538975,      15.11909059,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.09396137,           47.2392865,     185.4292696,       15.2673324,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              31.2264778,           52.0417584,     183.8999003,      18.25013209,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             33.04023454,          46.80461847,      192.722682,      15.27480586,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.07913365,          47.30941855,     187.5551712,      14.09620246,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              32.0329218,           47.2612066,     184.2834934,      14.89896668,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.33439624,          47.47290669,     188.7989004,      14.83652629,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             32.35216597,           47.9049798,     190.5450851,      15.28785977,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             31.99532608,          47.99615466,     187.6718545,      15.98712909,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)______5000 iterasyon yolladim benchmark 
             32.07121961,          47.76433825,     186.0488415,      15.61456797,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)__100
             33.02328551,          46.83071721,     192.6633473,       15.1993707,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)__150
             32.07979089,          47.31245341,     187.5270608,      14.09679804,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.150489717,          19.94772125,     7.258343095,     -6.234626957,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.500243848,          30.78568422,     8.455412306,      16.35143235,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.500236582,          30.78585247,     8.455370164,      16.35164491,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.500236587,          30.78585274,     8.455370201,       16.3516452,6.366197725,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.500236586,          30.78585275,     8.455370196,       16.3516452,6.366197724,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             52.09599949,         -59.36479093,     217.4632878,     -61.82985619,15.46797173,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             52.70288763,         -63.22812336,     253.5030302,     -78.53493783,15.46797173,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             52.70285561,         -63.22812374,     253.5028771,     -78.53493823,15.46797173,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             52.70285563,         -63.22812315,     253.5028772,     -78.53493764,15.46797173,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             52.70285562,         -63.22812315,     253.5028771,     -78.53493764,15.46797173,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             10.94329266,         -61.50844714,     47.60435209,      -66.5937752,14.26840931,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             10.20625087,         -64.73263704,     51.81948491,     -80.48437047,14.26840931,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             10.20622253,         -64.73263707,     51.81934783,     -80.48437069,14.26840931,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             10.20622253,         -64.73263639,     51.81934784,     -80.48437004,14.26840931,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             10.20622253,          -64.7326364,     51.81934784,     -80.48437005,14.26840931,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              2.56563467,         -56.00601512,     12.22910712,     -63.37513634,13.41471178,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              1.73829961,         -62.49155613,      11.6643293,     -76.86743792,13.41471178,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.738273791,         -62.49156592,      11.6642033,     -76.86742652,13.41471178,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.738273791,         -62.49156484,     11.66420331,     -76.86742574,13.41471178,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.738273791,         -62.49156485,     11.66420331,     -76.86742574,13.41471178,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             2.771016947,          118.2420084,     10.95430236,      113.6875569,14.36260816,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             4.152818203,          116.1056824,     17.70214831,      100.8983433,14.36260816,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             4.152846802,          116.1056973,     17.70228655,      100.8983568,14.36260816,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             4.152846802,          116.1056976,     17.70228655,      100.8983571,14.36260816,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             4.152846801,          116.1056976,     17.70228655,      100.8983571,14.36260816,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.367369414,          89.88448222,     7.594518967,      65.48833627,7.285474713,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.608373456,          81.52714609,     11.53790604,      61.85176749,7.285474713,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.608382726,          81.52730153,     11.53796062,      61.85189127,7.285474713,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.608382722,          81.52730184,      11.5379606,       61.8518915,7.285474715,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             1.608382722,          81.52730183,      11.5379606,      61.85189151,7.285474713,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             7.432115739,          152.8762496,     44.94097595,      132.0995213,7.621234596,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             7.373305126,          152.5338822,     42.85283551,      128.7095362,7.621234596,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             7.373294266,          152.5338725,     42.85277362,      128.7095215,7.621234596,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
              7.37329426,          152.5338731,     42.85277356,      128.7095221,7.621234598,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             7.373294258,          152.5338731,     42.85277355,      128.7095221,7.621234596,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             35.60798386,          13.63441876,     147.7502556,      10.91227984,16.24052435,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             36.60558424,           11.2872933,     174.0368304,     -4.071682454,16.24052435,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             36.60561865,           11.2872898,     174.0369938,     -4.071685648,16.24052435,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             36.60561867,          11.28729038,     174.0369939,     -4.071685073,16.24052435,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             36.60561867,          11.28729038,     174.0369939,     -4.071685075,16.24052435,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
            0.7768881165,          155.2951091,      2.54254344,       163.101392,16.36836767,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             2.105741775,          115.4902257,     9.074912243,      100.3872427,16.36836767,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
               2.1057295,           115.489337,     9.074854271,      100.3862641,16.36836767,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             2.105729496,          115.4893371,     9.074854251,      100.3862642,16.36836767,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
             2.105729496,          115.4893371,     9.074854251,      100.3862642,16.36836767,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
            0.5369559122,          91.15152126,     1.896977838,      65.01827355,10.01427291,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
            0.4416495022,          108.5247019,     4.792150892,      15.61245059,10.01427291,      0
MOMENT Amplitude_Z(Nm/m), MOMENT phase(degree), Lift Amp  (N/m), Lift Phase (Deg),  w(Hz),   Mach, Moment Center(0.25 0 0)
